movie_id,title,genre0,genre1,year,cast0,cast1,director,writer,runtime,kind,distributors,languages,countries,rating,producer
1872181,The Amazing Spider-Man 2,Action,Adventure,2014,Andrew Garfield,Emma Stone,Marc Webb,Alex Kurtzman,142,movie,Bandwidth Digital Releasing,English,USA,6.8,Avi Arad
111161,The Shawshank Redemption,Crime,Drama,1994,Tim Robbins,Morgan Freeman,Frank Darabont,Stephen King,142,movie,PolyGram Film International,English,USA,9.3,Liz Glotzer
76759,Star Wars,Action,Adventure,1977,Mark Hamill,Harrison Ford,George Lucas,George Lucas,121,movie,Twentieth Century Fox Film Corporation,English,USA,8.7,Gary Kurtz
88763,Back to the Future,Adventure,Comedy,1985,Michael J. Fox,Christopher Lloyd,Robert Zemeckis,Robert Zemeckis,116,movie,Universal Pictures,English,USA,8.5,Neil Canton
88847,The Breakfast Club,Comedy,Drama,1985,Emilio Estevez,Paul Gleason,John Hughes,John Hughes,97,movie,Universal Pictures,English,USA,7.9,Gil Friesen
89218,The Goonies,Adventure,Comedy,1985,Sean Astin,Josh Brolin,Richard Donner,Steven Spielberg,114,movie,Warner Bros.,English,USA,7.8,Harvey Bernhard
102926,The Silence of the Lambs,Crime,Drama,1991,Jodie Foster,Lawrence A. Bonney,Jonathan Demme,Thomas Harris,118,movie,Orion Pictures,English,USA,8.6,Grace Blake
107290,Jurassic Park,Adventure,Sci-Fi,1993,Sam Neill,Laura Dern,Steven Spielberg,Michael Crichton,127,movie,Universal Pictures,English,USA,8.1,Kathleen Kennedy
110357,The Lion King,Animation,Adventure,1994,Matthew Broderick,Jonathan Taylor Thomas,Roger Allers,Irene Mecchi,89,movie,Buena Vista International (Sweden),English,USA,8.5,Alice Dewey
114369,Se7en,Crime,Drama,1995,Morgan Freeman,Andrew Kevin Walker,David Fincher,Andrew Kevin Walker,127,movie,New Line Cinema,English,USA,8.6,Stephen Brown
114709,Toy Story,Animation,Adventure,1995,Tom Hanks,Tim Allen,John Lasseter,John Lasseter,81,movie,Buena Vista Pictures,English,USA,8.3,Bonnie Arnold
118715,The Big Lebowski,Comedy,Crime,1998,Jeff Bridges,John Goodman,Joel Coen,Ethan Coen,117,movie,Gramercy Pictures (I),English,USA,8.2,Tim Bevan
120815,Saving Private Ryan,Action,Drama,1998,Tom Hanks,Tom Sizemore,Steven Spielberg,Robert Rodat,169,movie,DreamWorks Distribution,English,USA,8.6,Ian Bryce
