title,genre,year,director1,producer1,producer2,runningTime,writer1,writer2,actor1,actor2
Apeun seongsuk,Drama,1980,Park  Cheol-su,Choi  Chun-ji,?,90,Kang  Dae-ha,?,Yu  In-chon,Yun  Il-bong
Apeun seongsuk,Romance,1980,Park  Cheol-su,Choi  Chun-ji,?,90,Kang  Dae-ha,?,Yu  In-chon,Yun  Il-bong
Vigilante Force,Action,1976,Armitage  George,Corman  Gene,?,89,Armitage  George,?,Kristofferson  Kris (I),Vincent  Jan-Michael
Vigilante Force,Adventure,1976,Armitage  George,Corman  Gene,?,89,Armitage  George,?,Kristofferson  Kris (I),Vincent  Jan-Michael
Vigilante Force,Crime,1976,Armitage  George,Corman  Gene,?,89,Armitage  George,?,Kristofferson  Kris (I),Vincent  Jan-Michael
Vigilante Force,Drama,1976,Armitage  George,Corman  Gene,?,89,Armitage  George,?,Kristofferson  Kris (I),Vincent  Jan-Michael
Vigilante Force,Thriller,1976,Armitage  George,Corman  Gene,?,89,Armitage  George,?,Kristofferson  Kris (I),Vincent  Jan-Michael
Santo contra la mafia del vicio,Action,1971,Curiel  Federico,Garc?a Besn?  Jorge,?,95,Garc?a Besn?  Jorge,Os?s  Fernando,Rodr?guez  Dagoberto (I),?
Santo contra la mafia del vicio,Adventure,1971,Curiel  Federico,Garc?a Besn?  Jorge,?,95,Garc?a Besn?  Jorge,Os?s  Fernando,Rodr?guez  Dagoberto (I),?
Santo contra la mafia del vicio,Crime,1971,Curiel  Federico,Garc?a Besn?  Jorge,?,95,Garc?a Besn?  Jorge,Os?s  Fernando,Rodr?guez  Dagoberto (I),?
Santo contra la mafia del vicio,Drama,1971,Curiel  Federico,Garc?a Besn?  Jorge,?,95,Garc?a Besn?  Jorge,Os?s  Fernando,Rodr?guez  Dagoberto (I),?
Margarita se llama mi amor,Comedy,1961,Fern?ndez  Ram?n (I),Gamundi  M.E.,?,94,Escriv?  Vicente (I),Escriv?  Vicente (I),Cifariello  Antonio,Zarzo  Manuel
Margarita se llama mi amor,Romance,1961,Fern?ndez  Ram?n (I),Gamundi  M.E.,?,94,Escriv?  Vicente (I),Escriv?  Vicente (I),Cifariello  Antonio,Zarzo  Manuel
The Heroes of Telemark,Action,1965,Mann  Anthony (I),Fisz  Benjamin,?,131,Barzman  Ben,Drummond  John (IV),Douglas  Kirk (I),Harris  Richard (I)
The Heroes of Telemark,Drama,1965,Mann  Anthony (I),Fisz  Benjamin,?,131,Barzman  Ben,Drummond  John (IV),Douglas  Kirk (I),Harris  Richard (I)
The Heroes of Telemark,History,1965,Mann  Anthony (I),Fisz  Benjamin,?,131,Barzman  Ben,Drummond  John (IV),Douglas  Kirk (I),Harris  Richard (I)
